Publication Year,Month,Category,college,Research field ,Title,Source Title
2024,January,Scopus,Foundation Year for Health Colleges,Health-related / Medical,Immunopathology of herpes simplex virus-associated neuroinflammation: Unveiling the mysteries,Reviews in Medical Virology
2024,January,Scopus,Foundation Year for Health Colleges,Health-related / Medical,"Synthesis, biological evaluation and molecular docking study of indazole based schiff base analogues as new anti-diabetic inhibitors",Journal of Molecular Structure
2024,January,Scopus,College of Sports Science and Physical Activity,Humanitarian ,The Multifunctional TRPC6 Protein: Significance in the Field of Cardiovascular Studies,Current Problems in Cardiology
2024,January,WOS,College of Sports Science and Physical Activity,Humanitarian ,Anti-inflammatory effects of bay laurel (Laurus nobilis L.) towards the gut microbiome in dextran sodium sulfate induced colitis animal models,FOOD SCIENCE & NUTRITION
2024,January,Scopus,College of Arts and Design,Humanitarian ,Design Studio—A Bibliometric Analysis,Lecture Notes in Networks and Systems
2024,January,Scopus,College of Arts and Design,Humanitarian ,Infographics in Educational Settings: A Literature Review,IEEE Access
2024,January,Scopus,College of Nursing,Health-related / Medical,Collaborative leadership and productive work performance: The mediating role of nurses' innovative behavior,International Nursing Review
2024,January,WOS,College of Nursing,Health-related / Medical,Exploring the experiences of female undergraduate nursing students in providing home healthcare to older adults,INTERNATIONAL JOURNAL OF QUALITATIVE STUDIES ON HEALTH AND WELL-BEING
2024,January,Scopus,College of Nursing,Health-related / Medical,"Long-term care facilities' response to the COVID-19 pandemic: An international, cross-sectional survey",Journal of Advanced Nursing
2024,January,WOS,College of Nursing,Health-related / Medical,Psychological antecedents toward COVID-19 vaccination explain the high rates of vaccine rejection among the Libyan population 2 years after starting vaccination campaigns,JOURNAL OF PUBLIC HEALTH-HEIDELBERG
2024,January,WOS,College of Nursing,Health-related / Medical,Routine childhood immunization in Sub-Saharan Africa: addressing parental vaccine hesitancy,PUBLIC HEALTH
2024,January,WOS,College of Nursing,Health-related / Medical,"The Association between Nursing Students' Happiness, Emotional Intelligence, and Perceived Caring Behavior in Riyadh City, Saudi Arabia",HEALTHCARE
2024,January,WOS,College of Nursing,Health-related / Medical,The influence of supportive work environment on work-related stress and conflict management style among emergency care nurses: A descriptive correlational study,WORLDVIEWS ON EVIDENCE-BASED NURSING
2024,January,Scopus,College of Health and Rehabilitation Sciences,Health-related / Medical,Enhancing learning outcomes through multisensory integration: A fMRI study of audio-visual training in virtual reality,NeuroImage
2024,January,Scopus,College of Health and Rehabilitation Sciences,Health-related / Medical,Enrollment and dropout rates of individuals with chronic obstructive pulmonary disease approached for telehealth interventions: A systematic review and meta-regression analysis,Heliyon
2024,January,Scopus,College of Health and Rehabilitation Sciences,Health-related / Medical,Is thyroid dysfunction a common cause of telogen effluvium?: A retrospective study,Medicine (United States)
2024,January,Scopus,College of Health and Rehabilitation Sciences,Health-related / Medical,Olecranon stress fracture in a gymnastics player: Insight into an early detection and integrated care approach: Case report,Radiology Case Reports
2024,January,Scopus,College of Health and Rehabilitation Sciences,Health-related / Medical,"Retraction Note: Testing alternatives: the use of adipose-derived mesenchymal stem cells to slow neurodegeneration in a rat model of Parkinson’s Disease (Molecular Biology Reports, (2019), 46, 6, (5841-5858), 10.1007/s11033-019-05018-9)",Molecular Biology Reports
2024,January,WOS,College of Health and Rehabilitation Sciences,Health-related / Medical,"RETRACTION: Testing alternatives: the use of adipose-derived mesenchymal stem cells to slow neurodegeneration in a rat model of Parkinson's Disease (Retraction of Vol 46, Pg 5841, 2019)",MOLECULAR BIOLOGY REPORTS
2024,January,Scopus,College of Health and Rehabilitation Sciences,Health-related / Medical,The physiological and physical benefits of two types of concurrent training: a randomized controlled trial,"BMC Sports Science, Medicine and Rehabilitation"
2024,January,Scopus,College of Health and Rehabilitation Sciences,Health-related / Medical,Transition to Adulthood for Extremely Preterm Survivors,Pediatrics
2024,January,WOS,College of pharmacy,Health-related / Medical,"A new anticancer derivative of the natural alkaloid, theobromine, as an EGFR inhibitor and apoptosis inducer",THEORETICAL CHEMISTRY ACCOUNTS
