Publication Year,Month,Category,college,Research field ,Title,Source Title
2025,January,WOS,College of Education and Human Development,Humanitarian ,Sustainable Entrepreneurial Intention Among University Students: Synergetic Moderation of Entrepreneurial Fear and Use of Artificial Intelligence in Teaching,SUSTAINABILITY
2025,January,WOS,College of Education and Human Development,Humanitarian ,The Effects of Using Augmented Reality on Phoneme and Word Reading for First Grade Students With Autism and Developmental Delays,JOURNAL OF SPECIAL EDUCATION TECHNOLOGY
2025,January,WOS,College of Education and Human Development,Humanitarian ,The enigmatic role of SIRT2 in the cardiovascular system: Deciphering its protective and detrimental actions to unlock new avenues for therapeutic intervention,CURRENT PROBLEMS IN CARDIOLOGY
2025,January,WOS,College of Nursing,Health-related / Medical,Assessing neonatal nurses: transitioning preterm infants to oral feeding - a multicenter cross-sectional study,BMC NURSING
2025,January,WOS,College of Nursing,Health-related / Medical,Decorin alleviates non-alcoholic fatty liver disease in rats with polycystic ovary syndrome,TISSUE & CELL
2025,January,WOS,College of Nursing,Health-related / Medical,Enhanced antitumor efficacy of nanostructured lipid carrier co-loaded with docetaxel and 5-fluorouracil for targeted gastric cancer therapy,MEDICAL ONCOLOGY
2025,January,WOS,College of Nursing,Health-related / Medical,Evaluation of the performance of nursing students taught using online and offline learning models in emergency and critical care nursing during the COVID-19 pandemic,JAPAN JOURNAL OF NURSING SCIENCE
2025,January,WOS,College of Nursing,Health-related / Medical,"Gender differences in acute and perceived stress, bullying, and academic motivation among nursing and midwifery students",BMC NURSING
2025,January,WOS,College of Nursing,Health-related / Medical,"Prevalence, consequences, and contributing factors beyond verbal and physical workplace violence against nurses in peripheral hospitals",FRONTIERS IN PUBLIC HEALTH
2025,January,WOS,College of Nursing,Health-related / Medical,Quality management for nurses performance and commitment on government hospitals: A cross-sectional study,MEDICINE
2025,January,WOS,College of Nursing,Health-related / Medical,Targeting the Hippo and Rap1 signaling pathways: the anti-proliferative effects of curcumin in colorectal cancer cell lines,MEDICAL ONCOLOGY
2025,January,WOS,College of Health and Rehabilitation Sciences,Health-related / Medical,Bipolar Disorders in Saudi Arabia: What Do We Know So Far?,SAUDI JOURNAL OF MEDICINE & MEDICAL SCIENCES
2025,January,WOS,College of Health and Rehabilitation Sciences,Health-related / Medical,Effects of Physiotherapy Interventions for Poststroke Fatigue: A Systematic Review,STROKE
2025,January,WOS,College of Health and Rehabilitation Sciences,Health-related / Medical,Maximizing phonation: impact of inspiratory muscle strengthening on vocal durations and pitch range,BMC PULMONARY MEDICINE
2025,January,WOS,College of Health and Rehabilitation Sciences,Health-related / Medical,Multimodal MRI analysis of microstructural and functional connectivity brain changes following systematic audio-visual training in a virtual environment,NEUROIMAGE
2025,January,WOS,College of Health and Rehabilitation Sciences,Health-related / Medical,On the effectiveness and precision of BDF2-discontinuous Galerkin scheme for nonlinear nonlocal reaction-diffusion models,ZEITSCHRIFT FUR ANGEWANDTE MATHEMATIK UND PHYSIK
2025,January,WOS,College of Health and Rehabilitation Sciences,Health-related / Medical,Ultrasonographic Assessment of Uterine Measurements and Endometrial Thickness Among Healthy Saudi Females Sample,INTERNATIONAL JOURNAL OF WOMENS HEALTH
2025,January,WOS,College of Health and Rehabilitation Sciences,Health-related / Medical,Use and Perceptions of Mobile Mental Health Applications Among Healthcare Workers in Saudi Arabia,JOURNAL OF NERVOUS AND MENTAL DISEASE
2025,January,WOS,College of pharmacy,Health-related / Medical,"A REVIEW ON THE ROLE OF NANOPARTICLES FOR TARGETED BRAIN DRUG DELIVERY: SYNTHESIS, CHARACTERIZATION, AND APPLICATIONS",EXCLI JOURNAL
2025,January,WOS,College of pharmacy,Health-related / Medical,"Ameliorative role of camel protein hydrolysates diet against alkaline stress in Oreochrmis niloticus: Hematology, immune responses and their regulating genes expression, and histopathological assays",VETERINARY RESEARCH COMMUNICATIONS
2025,January,WOS,College of pharmacy,Health-related / Medical,Clinical Characteristics and Outcomes of Deep Vein Thrombosis in Relation to Location: A Retrospective Analysis Study,CLINICAL AND APPLIED THROMBOSIS-HEMOSTASIS
2025,January,WOS,College of pharmacy,Health-related / Medical,"Design, synthesis, and in silico studies of new quinazolinones tagged thiophene, thienopyrimidine, and thienopyridine scaffolds as antiproliferative agents with potential p38α MAPK kinase inhibitory effects",RSC ADVANCES
2025,January,WOS,College of pharmacy,Health-related / Medical,"Effects of camel whey protein hydrolysate on growth, nutrient metabolism, and tight junction protein gene expression in Oreochromis niloticus under hypoxia stress",AQUACULTURE INTERNATIONAL
2025,January,WOS,College of pharmacy,Health-related / Medical,Evaluating the risk of acute kidney injury and mortality associated with concomitant use of vancomycin with piperacillin/tazobactam or meropenem in critically ill and non-critically ill patients: a systematic review and meta-analysis,BMC INFECTIOUS DISEASES
2025,January,WOS,College of pharmacy,Health-related / Medical,Evaluation of Effectiveness and Safety of Dexmedetomidine in non-Mechanically Ventilated COVID-19 Critically ill Patients: A Multicentre Cohort Study,JOURNAL OF INTENSIVE CARE MEDICINE
2025,January,WOS,College of pharmacy,Health-related / Medical,"Formulation of Rutin Lipid Nanoparticles-Based Gel: in vitro Characterization, Molecular Docking and Cytotoxicity Assessment",CHEMISTRYSELECT
2025,January,WOS,College of pharmacy,Health-related / Medical,"New quinazolone-sulfonate conjugates with an acetohydrazide linker as potential antimicrobial agents: design, synthesis and molecular docking simulations",RSC ADVANCES
2025,January,WOS,College of pharmacy,Health-related / Medical,Patients' views and experiences of the first community pharmacy-based medication therapy management clinic in the Middle East and North Africa (MENA): A qualitative study,CANADIAN PHARMACISTS JOURNAL
2025,January,WOS,College of pharmacy,Health-related / Medical,Rosa moschata ameliorates haloperidol-induced Parkinson's disease via reduction of neurodegeneration and oxidative stress,ASIAN PACIFIC JOURNAL OF TROPICAL BIOMEDICINE
2025,January,WOS,College of pharmacy,Health-related / Medical,Theoretical investigations on analysis and optimization of freeze drying of pharmaceutical powder using machine learning modeling of temperature distribution,SCIENTIFIC REPORTS
